regime,fusion_set,config_id,run1_ms,run2_ms,best_ms,speedup_vs_unfused,tied_with_best_run1,tied_with_best_run2,notes
decode_bs512,#3 + #10,H_f3_f10,4.8738,4.8804,4.8738,1.0015,0,1,
decode_bs512,#10,E_f10,4.8776,4.8833,4.8776,1.0007,0,0,
decode_bs512,#3 + #9,I_f3_f9,4.8798,4.8860,4.8798,1.0002,0,0,
decode_bs512,none (all unfused),A_all_unfused,4.8809,4.8839,4.8809,1.0000,0,0,
decode_bs512,#3,B_f3,4.8817,4.8876,4.8817,0.9998,0,0,
decode_bs512,#4,M_f4,4.8896,4.9031,4.8896,0.9982,0,0,
decode_bs512,#9,G_f9,4.8927,4.8896,4.8896,0.9982,0,0,
decode_bs512,#11b,N_f11b,4.8901,4.8949,4.8901,0.9981,0,0,"contains #11b, which DOES pass the strict invariance screen at every regime in results/h200/f11_publish.json. This layer number is a whole-layer measurement from the earlier contended run (42.19 us harness floor), not the #11b microbenchmark ratio -- the microbenchmark's decode wall figures are blocked for exceeding their own launch-aware ceiling, and its published win is prefill-only"
decode_bs512,#5,L_f5,4.8966,4.8927,4.8927,0.9976,0,0,
decode_bs512,#8,F_f8,4.9025,4.8990,4.8990,0.9963,0,0,
decode_bs512,#3 + #8,K_f3_f8,4.9006,4.9003,4.9003,0.9960,0,0,
decode_bs1024,#3,B_f3,5.5191,5.5400,5.5191,1.0003,1,1,
decode_bs1024,none (all unfused),A_all_unfused,5.5207,5.5589,5.5207,1.0000,1,1,
decode_bs1024,#3 + #9,I_f3_f9,5.5370,5.5233,5.5233,0.9995,1,1,
decode_bs1024,#8,F_f8,5.5240,5.5685,5.5240,0.9994,1,1,
decode_bs1024,#3 + #8,K_f3_f8,5.5246,5.5585,5.5246,0.9993,1,1,
decode_bs1024,#11b,N_f11b,5.5421,5.5262,5.5262,0.9990,1,1,"contains #11b, which DOES pass the strict invariance screen at every regime in results/h200/f11_publish.json. This layer number is a whole-layer measurement from the earlier contended run (42.19 us harness floor), not the #11b microbenchmark ratio -- the microbenchmark's decode wall figures are blocked for exceeding their own launch-aware ceiling, and its published win is prefill-only"
decode_bs1024,#3 + #10,H_f3_f10,5.5284,5.5430,5.5284,0.9986,1,1,
decode_bs1024,#6,D_f6,5.5355,5.5510,5.5355,0.9973,1,1,
decode_bs1024,#9,G_f9,5.5377,5.5556,5.5377,0.9969,1,1,
decode_bs1024,#10,E_f10,5.5484,5.5421,5.5421,0.9961,1,1,
decode_bs1024,#4,M_f4,5.5526,5.5911,5.5526,0.9943,1,0,
decode_bs1024,#1,C_f1,5.5730,5.5626,5.5626,0.9925,1,1,
decode_bs1024,#5,L_f5,5.5666,5.5792,5.5666,0.9918,1,1,
decode_bs1024,#1+#6+#9 (greedy),J_greedy_all,5.5763,5.6023,5.5763,0.9900,1,0,
prefill_t2048,#1,C_f1,6.3043,6.3169,6.3043,1.0061,1,1,
prefill_t2048,#3 + #10,H_f3_f10,6.3138,6.3116,6.3116,1.0049,1,1,
prefill_t2048,#10,E_f10,6.3142,6.3205,6.3142,1.0045,1,1,
prefill_t2048,#3,B_f3,6.3355,6.3368,6.3355,1.0011,1,0,
prefill_t2048,#11b,N_f11b,6.3418,6.3571,6.3418,1.0001,1,0,"contains #11b, which DOES pass the strict invariance screen at every regime in results/h200/f11_publish.json. This layer number is a whole-layer measurement from the earlier contended run (42.19 us harness floor), not the #11b microbenchmark ratio -- the microbenchmark's decode wall figures are blocked for exceeding their own launch-aware ceiling, and its published win is prefill-only"
prefill_t2048,none (all unfused),A_all_unfused,6.3426,6.3472,6.3426,1.0000,1,0,
prefill_t2048,#5,L_f5,6.3990,6.3908,6.3908,0.9925,1,0,
prefill_t2048,#4,M_f4,6.3950,6.4113,6.3950,0.9918,1,0,
prefill_t2048,#8,F_f8,6.4040,6.4825,6.4040,0.9904,1,0,
prefill_t2048,#3 + #9,I_f3_f9,6.4402,6.4687,6.4402,0.9848,1,0,
prefill_t2048,#9,G_f9,6.4568,6.4454,6.4454,0.9840,1,0,
prefill_t2048,#3 + #8,K_f3_f8,6.4617,6.4695,6.4617,0.9816,1,0,
prefill_t2048,#1+#6+#9 (greedy),J_greedy_all,6.7590,6.7756,6.7590,0.9384,0,0,
prefill_t2048,#6,D_f6,6.7715,6.7880,6.7715,0.9367,0,0,
prefill_t8192,#3 + #10,H_f3_f10,16.0523,16.0891,16.0523,1.0081,1,1,
prefill_t8192,#3,B_f3,16.0705,16.2175,16.0705,1.0069,1,1,
prefill_t8192,#4,M_f4,16.1317,16.2596,16.1317,1.0031,1,0,
prefill_t8192,#11b,N_f11b,16.1458,16.2749,16.1458,1.0022,1,0,"contains #11b, which DOES pass the strict invariance screen at every regime in results/h200/f11_publish.json. This layer number is a whole-layer measurement from the earlier contended run (42.19 us harness floor), not the #11b microbenchmark ratio -- the microbenchmark's decode wall figures are blocked for exceeding their own launch-aware ceiling, and its published win is prefill-only"
prefill_t8192,#10,E_f10,16.1640,16.1647,16.1640,1.0011,1,1,
prefill_t8192,none (all unfused),A_all_unfused,16.1820,16.1993,16.1820,1.0000,1,1,
prefill_t8192,#1,C_f1,16.2390,16.2232,16.2232,0.9975,1,1,
prefill_t8192,#5,L_f5,16.2633,16.2982,16.2633,0.9950,1,0,
prefill_t8192,#3 + #9,I_f3_f9,16.5671,16.6112,16.5671,0.9768,0,0,
prefill_t8192,#3 + #8,K_f3_f8,16.5901,16.6549,16.5901,0.9754,0,0,
prefill_t8192,#9,G_f9,16.6358,16.6731,16.6358,0.9727,0,0,
prefill_t8192,#8,F_f8,16.6359,16.6413,16.6359,0.9727,0,0,
prefill_t8192,#6,D_f6,16.7250,16.7282,16.7250,0.9675,0,0,
prefill_t8192,#1+#6+#9 (greedy),J_greedy_all,17.2713,17.2339,17.2339,0.9390,0,0,
